A,7,9,0,8,18,
B,4,23,18,31,0,
C,9,7,8,6,4,
D,11,6,6,1,4,
E,2,5,10,3,0,
F,1,0,29,0,9,
G,10,4,3,1,17,
H,13,0,3,0,4,
I,21,27,13,15,0,
J,10,5,16,3,17,
K,0,2,0,7,15,
L,9,7,1,7,17,
M,0,16,6,32,3,
N,5,4,3,3,0,
O,0,4,9,3,6,
P,16,16,16,12,0,
Q,5,12,3,11,5,
R,5,0,0,0,0,
S,10,4,9,1,11,
T,21,7,14,6,4,
U,5,0,26,2,8,
V,3,16,5,17,10,
W,15,21,3,14,27,
X,21,1,5,4,4,
Y,1,0,0,0,6,
Z,3,11,1,19,17,
